airline_iata,country_iso
8E,US
AA,US
BB,PR
NH,JP
NX,MO
YC,RU
NZ,NZ
MU,CN
Y4,MX
OS,AT
HU,CN
BC,JP
MF,CN
JL,JP
B6,US
WN,US
F9,US
9K,PR
JD,CN
WF,NO
TR,SG
UA,US
FI,IS
AR,AR
MH,MY
FR,IT
VB,MX
W6,HU
CA,CN
NO,IT
SU,RU
TK,TR
BA,GB
ZH,CN
S7,RU
5T,CA
BR,TW
7R,RU
9C,CN
QF,AU
AS,US
5J,PH
BK,CN
U2,GB
HA,US
AI,IN
RO,RO
SK,DK
FB,BG
LH,DE
KN,CN
H2,CL
NK,US
3U,CN
G4,US
DY,NO
AM,MX
GA,ID
4G,RU
ZL,AU
U6,RU
R3,RU
LS,GB
GF,BH
AY,FI
PS,UA
QR,QA
HO,CN
G5,CN
EW,DE
PC,TR
HY,UZ
TJ,PR
SY,US
KO,US
VW,MX
B2,BY
DE,DE
DL,US
IB,ES
SP,PT
CX,HK
NT,ES
VY,ES
PN,CN
AV,CO
OR,NL
7S,US
HD,JP
LO,PL
5Y,US
CZ,CN
OU,HR
GV,US
AH,DZ
N8,US
8L,CN
9E,US
9R,CO
FM,CN
WZ,RU
EI,IE
IR,IR
SN,BE
BL,VN
UT,RU
KQ,KE
TY,NC
WS,CA
PQ,PH
I2,ES
GS,CN
KE,KR
TO,FR
SG,IN
UX,ES
3M,PR
6E,IN
NY,IS
QS,CZ
TV,CN
5O,FR
YX,US
LA,CL
LG,LU
BX,KR
EU,CN
ZB,GB
SA,ZA
CM,PA
I8,RU
AD,BR
D2,RU
W5,IR
EP,IR
HV,NL
LJ,KR
JJ,BR
JU,RS
LX,CH
G8,IN
TP,PT
P9,PE
DT,AO
EY,AE
SQ,SG
XQ,TR
KC,KZ
7W,UA
LY,IL
VA,AU
CN,CN
ET,ET
OB,BO
AF,FR
UU,RE
KL,NL
XK,FR
BT,LV
ME,LB
JR,CN
OZ,KR
OK,CZ
EN,IT
KU,KW
UC,US
A9,GE
JQ,AU
MD,MG
J2,AZ
EK,AE
P6,CA
MS,EG
W3,NG
DS,CH
OM,MN
KP,TG
IA,IQ
WY,OM
TM,MZ
5N,RU
XL,EC
ZW,US
UL,LK
G7,US
PY,SR
TU,TN
2L,CH
EM,US
Y8,CN
G3,BR
BJ,TN
KM,MT
TG,TH
B9,IR
HX,HK
IX,IN
AE,TW
T3,GB
TA,US
RJ,JO
9U,MD
P5,CO
C5,US
EV,US
SC,CN
SB,NC
CI,TW
EB,ES
XP,US
MK,MU
3E,US
2I,PE
YV,US
J9,KW
MQ,US
NS,CN
ON,NR
BW,TT
HZ,RU
M5,US
TC,TZ
EF,TW
NU,JP
TX,FR
UO,HK
SS,FR
CU,CU
K6,KH
B7,TW
YW,ES
HM,SC
GR,GG
TN,PF
KX,KY
S4,PT
LP,PE
PZ,PY
CJ,GB
D0,US
LR,US
UJ,EG
OO,US
FV,RU
KY,CN
Q6,AU
QG,ZA
OY,AR
TZ,SG
QU,UA
QX,US
7Q,DO
8D,LK
6D,ID
XE,KR
VH,VE
