,country_iso,total_cases,total_deaths,stringency_index,reproduction_rate,population,population_density,date
0,AFG,166.0,4.0,67.59,1.52,41128772.0,54.422,2020-03
1,AFG,1827.0,60.0,84.26,1.57,41128772.0,54.422,2020-04
2,AFG,15180.0,254.0,84.26,1.21,41128772.0,54.422,2020-05
3,AFG,31445.0,739.0,78.7,0.82,41128772.0,54.422,2020-06
4,AFG,36628.0,1275.0,78.7,0.78,41128772.0,54.422,2020-07
5,AFG,38248.0,1406.0,28.7,0.91,41128772.0,54.422,2020-08
6,AFG,39354.0,1462.0,28.7,1.06,41128772.0,54.422,2020-09
7,AFG,41334.0,1533.0,9.26,1.2,41128772.0,54.422,2020-10
8,AFG,46215.0,1763.0,12.04,1.1,41128772.0,54.422,2020-11
9,AFG,52330.0,2189.0,12.04,0.86,41128772.0,54.422,2020-12
10,AFG,55023.0,2400.0,12.04,0.78,41128772.0,54.422,2021-01
11,AFG,55714.0,2443.0,12.04,0.93,41128772.0,54.422,2021-02
12,AFG,56454.0,2484.0,26.85,1.33,41128772.0,54.422,2021-03
13,AFG,59745.0,2625.0,26.85,1.31,41128772.0,54.422,2021-04
14,AFG,71838.0,2944.0,41.67,1.38,41128772.0,54.422,2021-05
15,AFG,118659.0,4871.0,46.3,0.99,41128772.0,54.422,2021-06
16,AFG,147154.0,6708.0,52.31,0.74,41128772.0,54.422,2021-07
17,AFG,153220.0,7118.0,18.52,0.75,41128772.0,54.422,2021-08
18,AFG,155174.0,7204.0,35.19,0.86,41128772.0,54.422,2021-09
19,AFG,156250.0,7280.0,27.78,0.97,41128772.0,54.422,2021-10
20,AFG,157289.0,7308.0,27.78,1.02,41128772.0,54.422,2021-11
21,AFG,158084.0,7356.0,19.44,1.28,41128772.0,54.422,2021-12
22,ALB,243.0,15.0,84.26,1.08,2842318.0,104.871,2020-03
23,ALB,773.0,31.0,89.81,0.86,2842318.0,104.871,2020-04
24,ALB,1137.0,33.0,86.11,1.26,2842318.0,104.871,2020-05
25,ALB,2535.0,62.0,68.52,1.19,2842318.0,104.871,2020-06
26,ALB,5276.0,157.0,62.96,1.11,2842318.0,104.871,2020-07
27,ALB,9513.0,284.0,54.63,0.99,2842318.0,104.871,2020-08
28,ALB,13649.0,387.0,54.63,1.05,2842318.0,104.871,2020-09
29,ALB,20875.0,509.0,54.63,1.18,2842318.0,104.871,2020-10
30,ALB,38182.0,810.0,65.74,1.08,2842318.0,104.871,2020-11
31,ALB,58316.0,1181.0,56.48,0.96,2842318.0,104.871,2020-12
32,ALB,78127.0,1380.0,60.19,1.15,2842318.0,104.871,2021-01
33,ALB,107167.0,1796.0,60.19,0.92,2842318.0,104.871,2021-02
34,ALB,125157.0,2235.0,60.19,0.78,2842318.0,104.871,2021-03
35,ALB,131085.0,2394.0,54.63,0.68,2842318.0,104.871,2021-04
36,ALB,132315.0,2451.0,46.3,0.61,2842318.0,104.871,2021-05
37,ALB,132521.0,2456.0,37.96,1.0,2842318.0,104.871,2021-06
38,ALB,133081.0,2457.0,37.96,1.68,2842318.0,104.871,2021-07
39,ALB,146387.0,2498.0,38.89,1.32,2842318.0,104.871,2021-08
40,ALB,170131.0,2698.0,44.44,0.89,2842318.0,104.871,2021-09
41,ALB,185300.0,2924.0,44.44,1.01,2842318.0,104.871,2021-10
