airline_iata,airline_type
TZ,Low-cost
VH,Low-cost
NS,Regional
6D,Leisure
TV,Mainline
7R,Regional
K6,Mainline
JR,Regional
QU,Leisure
7S,Regional
OB,Mainline
JD,Mainline
AD,Low-cost
8E,Cargo
UJ,Mainline
7W,Leisure
TK,Low-cost
BX,Low-cost
KP,Regional
P6,Regional
LJ,Low-cost
CN,Regional
D2,Regional
GV,Regional
P6,Leisure
VA,Mainline
TO,Low-cost
SN,Mainline
WZ,Leisure
CJ,Regional
BW,Mainline
HO,Mainline
GS,Regional
G5,Low-cost
W3,Mainline
OY,Mainline
PN,Low-cost
8L,Low-cost
VB,Low-cost
KY,Mainline
6E,Low-cost
Y4,Low-cost
A9,Mainline
G7,Regional
I2,Low-cost
5N,Regional
2I,Regional
G8,Low-cost
UO,Low-cost
BK,Mainline
9C,Low-cost
IX,Low-cost
VY,Low-cost
J9,Low-cost
EU,Regional
OR,Leisure
TR,Low-cost
JQ,Low-cost
W6,Low-cost
EY,Mainline
2L,Airline ACMI
8D,Cargo
CA,Cargo
HX,Mainline
YX,Regional
EB,Leisure
FB,Mainline
Y8,Cargo
LS,Leisure
BB,Regional
XL,Mainline
ZL,Regional
KC,Mainline
NO,Leisure
UC,Cargo
QG,Low-cost
H2,Low-cost
YC,Regional
G3,Low-cost
VA,Mainline
S4,Mainline
TY,Regional
G4,Low-cost
LP,Mainline
P9,Cargo
ET,Mainline
NY,Regional
5T,Regional
B6,Low-cost
SG,Low-cost
T3,Regional
QS,Leisure
TN,Mainline
JL,Regional
BC,Low-cost
HD,Low-cost
9K,Regional
SP,Airline ACMI
4G,Mainline
5J,Low-cost
I8,Regional
WS,Mainline
YW,Regional
NX,Mainline
SC,Mainline
N8,Cargo
M5,Regional
UJ,Cargo
F9,Low-cost
3M,Regional
JL,Regional
P5,Mainline
SP,Regional
PC,Low-cost
OY,Leisure
WF,Regional
KO,Cargo
JU,Mainline
R3,Mainline
MF,Mainline
HY,Mainline
U6,Mainline
UA,Mainline
UT,Mainline
TK,Mainline
TU,Mainline
RO,Mainline
2L,Cargo
HV,Low-cost
TG,Mainline
W5,Mainline
DS,Low-cost
TP,Mainline
TA,Mainline
PY,Mainline
XQ,Leisure
SY,Leisure
NK,Low-cost
WN,Low-cost
SA,Mainline
OO,Regional
SQ,Mainline
3U,Mainline
S7,Mainline
ZH,Mainline
FM,Mainline
9R,Regional
SK,Mainline
FR,Low-cost
RJ,Mainline
PZ,Mainline
QF,Mainline
B9,Mainline
BL,Low-cost
WY,Mainline
XP,Low-cost
5Y,Cargo
ME,Mainline
OM,Mainline
YV,Regional
QR,Mainline
AE,Regional
MH,Mainline
B7,Regional
LG,Mainline
LH,Mainline
LO,Mainline
TM,Mainline
DT,Mainline
JJ,Mainline
LR,Mainline
LA,Mainline
KU,Mainline
KE,Mainline
KO,Regional
KL,Mainline
KQ,Mainline
NU,Regional
JL,Mainline
JL,Regional
JL,Regional
IA,Mainline
EP,Regional
IR,Mainline
FI,Mainline
IB,Mainline
QX,Regional
HA,Mainline
HU,Mainline
GF,Mainline
VA,Regional
FV,Mainline
LH,Cargo
GA,Mainline
AY,Mainline
BR,Mainline
EW,Low-cost
EM,Cargo
EK,Mainline
LY,Mainline
MS,Mainline
D0,Cargo
DL,Mainline
OK,Mainline
CU,Mainline
LX,Mainline
OU,Mainline
SS,Leisure
DE,Leisure
CM,Mainline
XK,Regional
C5,Regional
HU,Mainline
KN,Low-cost
CZ,Mainline
9E,Regional
MU,Mainline
CI,Mainline
KX,Mainline
CX,Mainline
DY,Low-cost
BA,Mainline
NT,Regional
8E,Regional
B2,Mainline
BT,Regional
HZ,Regional
J2,Mainline
OS,Mainline
GR,Regional
EV,Regional
OZ,Mainline
MQ,Regional
AA,Mainline
NH,Mainline
AS,Mainline
ZW,Regional
PS,Mainline
TC,Mainline
HM,Mainline
NZ,Mainline
ON,Mainline
9U,Mainline
MK,Mainline
KM,Mainline
MD,Mainline
BJ,Mainline
UL,Mainline
AI,Mainline
TX,Regional
AF,Mainline
UX,Leisure
EN,Regional
CA,Mainline
U2,Low-cost
SB,Regional
UU,Mainline
AH,Mainline
AV,Mainline
5O,Cargo
VW,Regional
AR,Mainline
SU,Mainline
AM,Mainline
EI,Mainline
3E,Regional
TJ,Regional
7Q,Regional
HA,Regional
2I,Cargo
JU,Leisure
CZ,Mainline
EF,Cargo
XE,Regional
Q6,Low-cost
P5,Low-cost
AH,Cargo
TA,Airline ACMI
J2,Low-cost
VY,Low-cost
ZB,Mainline
PQ,Low-cost
TZ,Regional
