location_iso,indicator,subject,measure,frequency,time,value
OECD,QGDP,TOT,PC_CHGPP,A,2017,2.638162464
OECD,QGDP,TOT,PC_CHGPP,A,2018,2.38686066
OECD,QGDP,TOT,PC_CHGPP,A,2019,1.698698816
OECD,QGDP,TOT,PC_CHGPP,A,2020,-4.352352495
OECD,QGDP,TOT,PC_CHGPP,A,2021,5.676699731
OECD,QGDP,TOT,PC_CHGPP,A,2022,2.9
EST,QGDP,TOT,PC_CHGPP,A,2017,5.792042325
EST,QGDP,TOT,PC_CHGPP,A,2018,3.784204487
EST,QGDP,TOT,PC_CHGPP,A,2019,3.73970535
EST,QGDP,TOT,PC_CHGPP,A,2020,-0.551002495
EST,QGDP,TOT,PC_CHGPP,A,2021,8.013466342
DEU,QGDP,TOT,PC_CHGPY,Q,2017-Q1,2.281000431
DEU,QGDP,TOT,PC_CHGPY,Q,2017-Q2,2.692704845
DEU,QGDP,TOT,PC_CHGPY,Q,2017-Q3,3.184849767
DEU,QGDP,TOT,PC_CHGPY,Q,2017-Q4,3.748530941
DEU,QGDP,TOT,PC_CHGPY,Q,2018-Q1,1.919385872
DEU,QGDP,TOT,PC_CHGPY,Q,2018-Q2,1.779096704
DEU,QGDP,TOT,PC_CHGPY,Q,2018-Q3,0.239433443
DEU,QGDP,TOT,PC_CHGPY,Q,2018-Q4,0.124539175
DEU,QGDP,TOT,PC_CHGPY,Q,2019-Q1,1.429591262
DEU,QGDP,TOT,PC_CHGPY,Q,2019-Q2,0.546687404
DEU,QGDP,TOT,PC_CHGPY,Q,2019-Q3,1.459185005
DEU,QGDP,TOT,PC_CHGPY,Q,2019-Q4,0.922106651
DEU,QGDP,TOT,PC_CHGPY,Q,2020-Q1,-1.220669794
DEU,QGDP,TOT,PC_CHGPY,Q,2020-Q2,-10.435831326
DEU,QGDP,TOT,PC_CHGPY,Q,2020-Q3,-2.480089589
DEU,QGDP,TOT,PC_CHGPY,Q,2020-Q4,-2.129545468
DEU,QGDP,TOT,PC_CHGPY,Q,2021-Q1,-2.174503908
DEU,QGDP,TOT,PC_CHGPY,Q,2021-Q2,10.156264055
DEU,QGDP,TOT,PC_CHGPY,Q,2021-Q3,1.849972384
DEU,QGDP,TOT,PC_CHGPY,Q,2021-Q4,1.192414352
DEU,QGDP,TOT,PC_CHGPY,Q,2022-Q1,3.522221233
DEU,QGDP,TOT,PC_CHGPY,Q,2022-Q2,1.6674938
DEU,QGDP,TOT,PC_CHGPY,Q,2022-Q3,1.354131644
DEU,QGDP,TOT,PC_CHGPY,Q,2022-Q4,1.138543414
ESP,QGDP,TOT,PC_CHGPP,A,2017,2.975670707
ESP,QGDP,TOT,PC_CHGPP,A,2018,2.284558837
ESP,QGDP,TOT,PC_CHGPP,A,2019,1.983880755
ESP,QGDP,TOT,PC_CHGPP,A,2020,-11.325280203
ESP,QGDP,TOT,PC_CHGPP,A,2021,5.519495248
ESP,QGDP,TOT,PC_CHGPP,A,2022,5.47807177
DNK,QGDP,TOT,PC_CHGPP,A,2017,2.821749347
DNK,QGDP,TOT,PC_CHGPP,A,2018,1.989532464
DNK,QGDP,TOT,PC_CHGPP,A,2019,1.493486638
DNK,QGDP,TOT,PC_CHGPP,A,2020,-1.994598117
DNK,QGDP,TOT,PC_CHGPP,A,2021,4.855696527
DNK,QGDP,TOT,PC_CHGPP,A,2022,3.407552479
KOR,QGDP,TOT,PC_CHGPP,Q,2017-Q1,0.984785463
KOR,QGDP,TOT,PC_CHGPP,Q,2017-Q2,0.714647727
KOR,QGDP,TOT,PC_CHGPP,Q,2017-Q3,1.441838418
KOR,QGDP,TOT,PC_CHGPP,Q,2017-Q4,-0.319868975
KOR,QGDP,TOT,PC_CHGPP,Q,2018-Q1,1.205851771
KOR,QGDP,TOT,PC_CHGPP,Q,2018-Q2,0.636597085
