organization_code_iata,organization_code_icao,period_start_date,period_end_date,accounting_period,passenger_load_factor_pct
EI,EIN,2020-07-01,2020-07-31,Month 7,24.6961551201366
EI,EIN,2020-08-01,2020-08-31,Month 8,29.712449009324
EI,EIN,2020-09-01,2020-09-30,Month 9,25.9656989082807
EI,EIN,2020-10-01,2020-10-31,Month 10,17.795881421136
EI,EIN,2020-11-01,2020-11-30,Month 11,15.9545157158522
EI,EIN,2020-12-01,2020-12-31,Month 12,35.2653728997815
EI,EIN,2020-01-01,2020-01-31,Month 1,71.720690127097
EI,EIN,2020-02-01,2020-02-29,Month 2,70.9904640799113
EI,EIN,2020-03-01,2020-03-31,Month 3,45.4809441760148
EI,EIN,2020-04-01,2020-04-30,Month 4,4.54250018054452
EI,EIN,2020-05-01,2020-05-31,Month 5,7.68601216951927
EI,EIN,2020-06-01,2020-06-30,Month 6,15.8052083708533
AV,AVA,2020-01-01,2020-01-31,Month 1,81.3111111111111
AV,AVA,2020-02-01,2020-02-29,Month 2,79.5858708891596
AV,AVA,2020-03-01,2020-03-31,Month 3,64.766458256712
AV,AVA,2020-04-01,2020-04-30,Month 4,51.3513513513513
AV,AVA,2020-05-01,2020-05-31,Month 5,80.0
G4,AAY,2020-01-01,2020-01-31,Month 1,82.1521511938896
G4,AAY,2020-02-01,2020-02-29,Month 2,82.1676401415217
G4,AAY,2020-03-01,2020-03-31,Month 3,59.8605675678425
G4,AAY,2020-04-01,2020-04-30,Month 4,19.9758900828985
AV,AVA,2020-06-01,2020-06-30,Month 6,69.8630136986301
AV,AVA,2020-07-01,2020-07-31,Month 7,60.3174603174603
AV,AVA,2020-08-01,2020-08-31,Month 8,53.1914893617021
AV,AVA,2020-09-01,2020-09-30,Month 9,66.6666666666667
AV,AVA,2020-10-01,2020-10-31,Month 10,70.0381679389313
AV,AVA,2020-11-01,2020-11-30,Month 11,64.2517814726841
AV,AVA,2020-12-01,2020-12-31,Month 12,61.6988416988417
AV,AVA,2021-01-01,2021-01-31,Month 1,54.7419804741981
AV,AVA,2021-02-01,2021-02-28,Month 2,58.8235294117647
AV,AVA,2021-03-01,2021-03-31,Month 3,77.4193548387097
AV,AVA,2021-04-01,2021-04-30,Month 4,66.755463023991
