country_iata,date,gdp,total_cases,total_deaths,stringency_index,reproduction_rate,population,population_density,airline_iata,passenger_load_factor_pct,seats,airline_type
AR,2020-04,-14.9756559,4428,218,88.89,1.03,45510324,16.177,AR,47.5024108,534,Mainline
AR,2020-04,-14.9756559,4428,218,88.89,1.03,45510324,16.177,AR,47.5024108,170,Mainline
AR,2020-04,-14.9756559,4428,218,88.89,1.03,45510324,16.177,AR,47.5024108,170,Mainline
AR,2020-04,-14.9756559,4428,218,88.89,1.03,45510324,16.177,AR,47.5024108,811,Mainline
AR,2020-04,-14.9756559,4428,218,88.89,1.03,45510324,16.177,AR,47.5024108,3296,Mainline
AR,2020-04,-14.9756559,4428,218,88.89,1.03,45510324,16.177,AR,47.5024108,267,Mainline
AR,2020-04,-14.9756559,4428,218,88.89,1.03,45510324,16.177,AR,47.5024108,1068,Mainline
AR,2020-04,-14.9756559,4428,218,88.89,1.03,45510324,16.177,AR,47.5024108,267,Mainline
AR,2020-04,-14.9756559,4428,218,88.89,1.03,45510324,16.177,AR,47.5024108,811,Mainline
AR,2020-04,-14.9756559,4428,218,88.89,1.03,45510324,16.177,AR,47.5024108,170,Mainline
AR,2020-04,-14.9756559,4428,218,88.89,1.03,45510324,16.177,AR,47.5024108,801,Mainline
AR,2020-04,-14.9756559,4428,218,88.89,1.03,45510324,16.177,AR,47.5024108,816,Mainline
AR,2020-04,-14.9756559,4428,218,88.89,1.03,45510324,16.177,AR,47.5024108,267,Mainline
AR,2020-04,-14.9756559,4428,218,88.89,1.03,45510324,16.177,AR,47.5024108,267,Mainline
AR,2020-04,-14.9756559,4428,218,88.89,1.03,45510324,16.177,AR,47.5024108,170,Mainline
AR,2020-04,-14.9756559,4428,218,88.89,1.03,45510324,16.177,AR,47.5024108,170,Mainline
AR,2020-04,-14.9756559,4428,218,88.89,1.03,45510324,16.177,AR,47.5024108,544,Mainline
AR,2020-04,-14.9756559,4428,218,88.89,1.03,45510324,16.177,AR,47.5024108,170,Mainline
AR,2020-04,-14.9756559,4428,218,88.89,1.03,45510324,16.177,AR,47.5024108,267,Mainline
AR,2020-07,11.89316134,191302,3543,90.74,1.15,45510324,16.177,AR,64.47969941,3086,Mainline
AR,2020-07,11.89316134,191302,3543,90.74,1.15,45510324,16.177,AR,64.47969941,811,Mainline
AR,2020-07,11.89316134,191302,3543,90.74,1.15,45510324,16.177,AR,64.47969941,96,Mainline
AR,2020-07,11.89316134,191302,3543,90.74,1.15,45510324,16.177,AR,64.47969941,1068,Mainline
AR,2020-07,11.89316134,191302,3543,90.74,1.15,45510324,16.177,AR,64.47969941,192,Mainline
AR,2020-07,11.89316134,191302,3543,90.74,1.15,45510324,16.177,AR,64.47969941,170,Mainline
AR,2020-07,11.89316134,191302,3543,90.74,1.15,45510324,16.177,AR,64.47969941,272,Mainline
AR,2020-07,11.89316134,191302,3543,90.74,1.15,45510324,16.177,AR,64.47969941,96,Mainline
AR,2020-07,11.89316134,191302,3543,90.74,1.15,45510324,16.177,AR,64.47969941,534,Mainline
AR,2020-07,11.89316134,191302,3543,90.74,1.15,45510324,16.177,AR,64.47969941,1335,Mainline
AR,2020-07,11.89316134,191302,3543,90.74,1.15,45510324,16.177,AR,64.47969941,811,Mainline
