airline_iata,date,passenger_load_factor_pct,country_iata,stringency_index,seats_y
EI,2020-07,24.69615512,IE,44.44,253449
EI,2020-08,29.71244901,IE,67.13,300084
EI,2020-09,25.96569891,IE,52.31,301279
EI,2020-10,17.79588142,IE,81.48,290519
EI,2020-11,15.95451572,IE,81.48,184266
EI,2020-12,35.2653729,IE,84.26,203028
EI,2020-01,71.72069013,IE,0.0,1080471
EI,2020-02,70.99046408,IE,0.0,1039056
EI,2020-03,45.48094418,IE,85.19,1021278
EI,2020-04,4.542500181,IE,90.74,118959
EI,2020-05,7.68601217,IE,83.33,114133
EI,2020-06,15.80520837,IE,44.44,130498
AV,2020-01,81.31111111,CO,0.0,2962120
AV,2020-02,79.58587089,CO,0.0,2735406
AV,2020-03,64.76645826,CO,87.96,1794737
AV,2020-04,51.35135135,CO,90.74,4750
AV,2020-05,80.0,CO,87.04,23056
G4,2020-01,82.15215119,US,0.0,1351170
G4,2020-02,82.16764014,US,0.0,1515501
G4,2020-03,59.86056757,US,72.69,1619177
G4,2020-04,19.97589008,US,72.69,295899
AV,2020-06,69.8630137,CO,87.04,17248
AV,2020-07,60.31746032,CO,87.04,19475
AV,2020-08,53.19148936,CO,87.04,17620
AV,2020-09,66.66666667,CO,71.3,236158
AV,2020-10,70.03816794,CO,65.74,530583
AV,2020-11,64.25178147,CO,60.19,816001
AV,2020-12,61.6988417,CO,60.19,1070273
AV,2021-01,54.74198047,CO,81.02,1268728
AV,2021-02,58.82352941,CO,81.02,1012461
AV,2021-03,77.41935484,CO,81.02,971958
AV,2021-04,66.75546302,CO,75.93,1007961
AV,2021-05,67.56470777,CO,62.96,1147086
AV,2021-06,76.99612205,CO,59.26,1420557
AV,2021-07,77.67145136,CO,46.3,1591226
G4,2020-05,47.62783069,US,72.69,828504
G4,2020-06,57.79892963,US,68.98,1524393
G4,2020-07,51.16794333,US,68.98,1791765
G4,2020-08,44.44313161,US,68.98,1483608
G4,2020-09,58.04118551,US,66.2,862599
G4,2020-10,63.5851749,US,66.2,1279590
G4,2020-11,58.14650951,US,75.46,1223364
G4,2020-12,54.77074229,US,71.76,1269729
G4,2021-01,57.83271012,US,71.76,993471
G4,2021-02,53.29468964,US,68.06,1359630
AV,2021-08,78.93582008,CO,46.3,1613665
AV,2021-09,77.4822695,CO,46.3,1523831
G4,2021-03,56.04340516,US,56.02,2065872
G4,2021-04,64.44983375,US,54.09,1634577
G4,2021-05,69.34453424,US,56.02,1547274
G4,2021-06,78.33722107,US,58.83,2171085
VW,2020-07,31.1117817,MX,70.83,51384
VW,2020-08,32.02076872,MX,74.54,64872
VW,2020-09,41.76841276,MX,73.61,46392
VW,2020-10,38.3547628,MX,71.76,66216
VW,2020-11,40.88893143,MX,71.76,69024
VW,2020-12,45.44998432,MX,71.76,69072
VW,2021-01,0.0,MX,71.76,56352
VW,2021-02,0.0,MX,60.65,51984
VW,2021-03,0.0,MX,47.22,65568
VW,2021-04,0.0,MX,44.44,62280
VW,2020-01,49.72372001,MX,0.0,119568
VW,2020-02,48.35607587,MX,0.0,107916
VW,2020-03,35.64213845,MX,82.41,103492
VW,2020-04,10.41722746,MX,82.41,22344
VW,2020-05,15.84346177,MX,82.41,26832
VW,2020-06,24.71706958,MX,70.83,34536
VW,2021-05,0.0,MX,44.44,64200
VW,2021-06,0.0,MX,44.44,70608
