organization_code_iata,,organization_code_iata,organization_code_icao,period_start_date,period_end_date,accounting_period,passenger_load_factor_pct,continuous
2I,8680,2I,SRU,2017-02-01,2017-02-28,Month 2,0.0,1
2I,8681,2I,SRU,2017-03-01,2017-03-31,Month 3,0.0,2
2I,8682,2I,SRU,2017-04-01,2017-04-30,Month 4,0.0,3
2I,8683,2I,SRU,2017-05-01,2017-05-31,Month 5,0.0,4
2I,8684,2I,SRU,2017-06-01,2017-06-30,Month 6,0.0,5
2I,8685,2I,SRU,2017-07-01,2017-07-31,Month 7,0.0,6
2I,8686,2I,SRU,2017-08-01,2017-08-31,Month 8,0.0,7
2I,8687,2I,SRU,2017-09-01,2017-09-30,Month 9,0.0,8
2I,8688,2I,SRU,2017-10-01,2017-10-31,Month 10,0.0,9
2I,8689,2I,SRU,2017-11-01,2017-11-30,Month 11,0.0,10
2I,8690,2I,SRU,2017-12-01,2017-12-31,Month 12,0.0,11
2I,1794,2I,SRU,2018-01-01,2018-12-31,Annual,43.3968832597165,12
2I,8691,2I,SRU,2018-01-01,2018-01-31,Month 1,0.0,12
2I,8692,2I,SRU,2018-02-01,2018-02-28,Month 2,0.0,13
2I,8693,2I,SRU,2018-03-01,2018-03-31,Month 3,0.0,14
2I,8694,2I,SRU,2018-04-01,2018-04-30,Month 4,0.0,15
2I,1795,2I,SRU,2019-01-01,2019-12-31,Annual,47.2155786321669,16
2I,971,2I,SRU,2020-01-01,2020-01-31,Month 1,0.0,17
2I,1796,2I,SRU,2020-01-01,2020-12-31,Annual,0.0,17
2I,972,2I,SRU,2020-02-01,2020-02-29,Month 2,0.0,18
2I,973,2I,SRU,2020-03-01,2020-03-31,Month 3,0.0,19
2I,871,2I,SRU,2020-04-01,2020-04-30,Month 4,0.0,20
2I,872,2I,SRU,2020-05-01,2020-05-31,Month 5,0.0,21
2I,873,2I,SRU,2020-06-01,2020-06-30,Month 6,0.0,22
2I,874,2I,SRU,2020-07-01,2020-07-31,Month 7,0.0,23
2I,875,2I,SRU,2020-08-01,2020-08-31,Month 8,0.0,24
2I,876,2I,SRU,2020-09-01,2020-09-30,Month 9,0.0,25
2I,877,2I,SRU,2020-10-01,2020-10-31,Month 10,0.0,26
2I,878,2I,SRU,2020-11-01,2020-11-30,Month 11,0.0,27
2I,879,2I,SRU,2020-12-01,2020-12-31,Month 12,0.0,28
2I,880,2I,SRU,2021-01-01,2021-01-31,Month 1,0.0,29
2I,881,2I,SRU,2021-02-01,2021-02-28,Month 2,0.0,30
2I,882,2I,SRU,2021-03-01,2021-03-31,Month 3,0.0,31
2I,883,2I,SRU,2021-04-01,2021-04-30,Month 4,0.0,32
